FROM,TO,VALUE
301,301,800
302,302,801
303,303,801
304,304,800
305,305,801
306,306,801
307,307,801
308,308,801
309,309,801
310,310,801
311,311,801
312,312,801
313,313,801
314,314,801
315,315,2000
316,316,2000
317,317,801
318,318,801
319,319,801
320,320,2000
321,321,800
322,322,801
323,323,801
324,324,801
325,325,800
326,326,801
327,327,801
328,328,801
329,329,801
330,330,801
331,331,801
332,332,801
333,333,801
343,343,2000
334,334,801
335,335,801
336,336,801
337,337,801
338,338,801
339,339,801
340,340,804
341,341,801
342,342,800
438,438,804
344,344,801
345,345,801
346,346,801
347,347,804
348,348,801
349,349,801
350,350,801
351,351,801
352,352,801
353,353,801
354,354,801
355,355,801
356,356,2000
357,357,804
358,358,801
359,359,2000
360,360,801
361,361,801
362,362,804
363,363,801
364,364,801
365,365,2000
366,366,801
367,367,801
368,368,801
369,369,804
370,370,801
461,461,804
371,371,2000
372,372,800
373,373,804
374,374,804
375,375,2000
376,376,801
377,377,801
378,378,2000
379,379,2000
598,598,801
380,380,804
381,381,804
382,382,802
383,383,2000
384,384,801
460,460,804
385,385,804
386,386,802
387,387,801
388,388,801
389,389,802
390,390,800
428,428,801
391,391,801
392,392,2000
393,393,804
394,394,801
395,395,801
396,396,804
397,397,2000
589,589,801
398,398,801
399,399,801
400,400,801
421,421,801
451,451,804
401,401,801
838,838,801
448,448,801
813,813,804
595,595,804
402,402,804
403,403,804
404,404,804
405,405,2000
444,444,801
406,406,801
407,407,2000
408,408,801
409,409,804
665,665,801
844,844,801
410,410,801
445,445,800
411,411,801
690,690,801
412,412,804
413,413,804
414,414,802
415,415,801
590,590,801
504,504,802
416,416,801
810,810,801
417,417,804
418,418,801
419,419,2000
474,474,2000
537,537,800
420,420,801
455,455,800
422,422,804
423,423,801
424,424,801
425,425,804
805,805,804
426,426,804
427,427,804
767,767,802
429,429,801
430,430,801
480,480,801
431,431,802
617,617,804
432,432,801
433,433,801
434,434,801
435,435,801
436,436,800
686,686,804
437,437,2000
490,490,801
677,677,804
439,439,801
581,581,804
440,440,804
441,441,2000
459,459,804
442,442,804
680,680,2000
880,880,804
443,443,801
613,613,801
446,446,801
447,447,804
449,449,800
454,454,803
450,450,801
699,699,801
846,846,801
452,452,800
453,453,804
548,548,801
456,456,804
457,457,801
458,458,802
478,478,801
758,758,801
561,561,801
635,635,804
462,462,804
463,463,804
597,597,2000
519,519,2000
464,464,2000
554,554,801
769,769,804
465,465,804
669,669,804
466,466,801
467,467,804
468,468,804
666,666,804
800,800,802
469,469,804
658,658,804
470,470,2000
471,471,804
472,472,802
497,497,801
602,602,804
747,747,2000
473,473,801
692,692,801
475,475,2000
476,476,801
477,477,801
562,562,801
821,821,802
479,479,804
481,481,801
482,482,801
483,483,804
484,484,2000
485,485,801
771,771,802
486,486,804
893,893,801
487,487,801
488,488,803
489,489,804
491,491,2000
532,532,804
622,622,804
492,492,803
734,734,801
493,493,2000
494,494,2000
495,495,801
517,517,801
552,552,804
710,710,801
496,496,801
498,498,804
499,499,801
500,500,2000
544,544,804
560,560,2000
584,584,2000
594,594,2000
803,803,802
501,501,803
506,506,2000
679,679,801
502,502,804
503,503,804
656,656,2000
700,700,2000
505,505,801
539,539,804
627,627,801
507,507,802
508,508,804
509,509,801
510,510,803
511,511,801
512,512,804
513,513,801
514,514,802
515,515,804
516,516,804
796,796,801
812,812,2000
870,870,801
900,900,2000
518,518,801
671,671,2000
708,708,2000
830,830,804
754,754,803
912,912,804
535,535,804
729,729,802
792,792,804
520,520,804
550,550,2000
654,654,801
822,822,804
841,841,801
521,521,801
522,522,2000
533,533,801
556,556,804
565,565,801
523,523,801
524,524,801
525,525,803
526,526,2000
527,527,804
605,605,804
528,528,802
529,529,804
530,530,804
531,531,2000
603,603,801
757,757,801
851,851,803
534,534,802
536,536,801
568,568,804
797,797,804
835,835,801
538,538,804
540,540,802
541,541,2000
542,542,801
570,570,804
702,702,801
783,783,804
911,911,801
543,543,2000
545,545,804
546,546,2000
547,547,801
549,549,801
824,824,804
551,551,2000
633,633,801
683,683,804
553,553,2000
768,768,802
555,555,804
557,557,801
847,847,804
558,558,804
559,559,801
727,727,801
563,563,804
564,564,801
791,791,2000
566,566,2000
567,567,801
575,575,804
855,855,804
569,569,804
571,571,2000
572,572,801
573,573,2000
574,574,804
583,583,804
687,687,2000
784,784,801
576,576,804
600,600,804
839,839,804
873,873,804
577,577,801
578,578,804
631,631,801
662,662,801
725,725,2000
845,845,801
579,579,2000
580,580,804
582,582,801
733,733,804
804,804,801
827,827,804
904,904,801
585,585,2000
586,586,804
587,587,801
588,588,801
691,691,2000
697,697,804
732,732,2000
808,808,804
823,823,804
872,872,801
888,888,2000
828,828,2000
861,861,804
591,591,804
592,592,801
593,593,803
596,596,801
611,611,804
775,775,804
890,890,804
599,599,804
737,737,804
601,601,2000
624,624,804
735,735,804
878,878,801
604,604,804
606,606,801
607,607,804
608,608,804
638,638,804
673,673,2000
682,682,804
704,704,801
724,724,802
609,609,800
610,610,2000
612,612,801
632,632,801
653,653,801
707,707,801
802,802,801
832,832,802
891,891,804
614,614,804
615,615,801
616,616,801
618,618,804
619,619,804
620,620,804
621,621,804
647,647,804
667,667,804
713,713,2000
858,858,804
623,623,804
625,625,802
626,626,801
637,637,804
781,781,804
850,850,804
857,857,804
628,628,800
629,629,2000
630,630,804
681,681,801
693,693,804
712,712,804
743,743,804
763,763,804
770,770,804
816,816,804
875,875,801
634,634,804
636,636,804
648,648,801
703,703,804
772,772,804
860,860,804
639,639,801
640,640,802
641,641,804
701,701,804
706,706,802
762,762,801
815,815,801
854,854,804
642,642,801
643,643,801
644,644,2000
645,645,801
646,646,802
649,649,2000
721,721,804
726,726,801
761,761,804
788,788,801
836,836,804
852,852,804
898,898,802
899,899,801
650,650,800
651,651,804
652,652,801
655,655,801
657,657,801
659,659,804
660,660,801
661,661,804
678,678,2000
695,695,804
740,740,2000
790,790,2000
840,840,804
889,889,804
663,663,804
664,664,801
705,705,2000
716,716,804
764,764,801
774,774,801
782,782,801
862,862,804
868,868,804
885,885,2000
906,906,801
668,668,2000
670,670,2000
672,672,801
718,718,801
745,745,804
799,799,801
831,831,804
843,843,804
884,884,804
674,674,2000
675,675,804
676,676,801
722,722,2000
798,798,800
869,869,801
905,905,804
684,684,2000
685,685,2000
694,694,2000
789,789,2000
820,820,804
848,848,804
896,896,804
688,688,804
689,689,803
696,696,804
698,698,2000
728,728,801
748,748,804
753,753,804
849,849,802
879,879,801
892,892,804
913,913,804
709,709,801
711,711,801
714,714,804
715,715,801
717,717,802
720,720,801
738,738,801
742,742,804
833,833,802
863,863,804
719,719,801
