FROM,TO,VALUE
1,1,376
2,2,301
3,3,674
4,4,321
5,5,303
6,6,342
7,7,325
8,8,379
9,9,407
10,10,302
11,11,343
12,12,337
13,13,322
14,14,335
16,16,315
17,17,347
18,18,306
20,20,395
21,21,304
22,22,356
23,23,308
24,24,313
25,25,455
26,26,305
27,27,392
28,28,609
29,29,496
30,30,457
31,31,353
33,33,312
34,34,718
35,35,324
36,36,328
37,37,307
38,38,534
39,39,323
40,40,334
41,41,555
42,42,364
43,43,397
45,45,401
46,46,568
47,47,460
48,48,311
49,49,521
50,50,528
52,52,449
53,53,470
54,54,419
55,55,317
56,56,369
57,57,642
58,58,382
59,59,668
60,60,358
61,61,314
62,62,552
63,63,361
64,64,537
65,65,310
67,67,562
68,68,331
69,69,309
70,70,631
71,71,538
72,72,583
73,73,543
74,74,420
75,75,327
76,76,505
78,78,330
79,79,338
80,80,329
82,82,462
83,83,408
84,84,556
85,85,332
86,86,544
87,87,439
88,88,346
89,89,316
90,90,385
91,91,497
92,92,638
93,93,339
94,94,446
95,95,461
96,96,509
97,97,498
98,98,438
99,99,545
100,100,360
101,101,432
102,102,326
103,103,380
104,104,333
105,105,433
107,107,604
108,108,563
109,109,362
110,110,442
111,111,415
112,112,682
113,113,576
114,114,473
115,115,318
116,116,320
117,117,605
118,118,377
119,119,351
120,120,383
121,121,440
122,122,373
123,123,340
124,124,558
126,126,422
127,127,632
128,128,363
129,129,436
130,130,319
131,131,628
133,133,487
134,134,524
135,135,389
136,136,359
138,138,391
139,139,688
140,140,579
141,141,367
142,142,409
143,143,417
146,146,499
147,147,412
148,148,355
149,149,388
151,151,559
152,152,523
153,153,518
154,154,689
155,155,707
156,156,696
157,157,478
158,158,445
159,159,614
160,160,465
161,161,697
162,162,515
163,163,375
164,164,394
165,165,386
166,166,569
168,168,510
170,170,492
171,171,590
172,172,403
173,173,591
175,175,399
176,176,349
177,177,471
179,179,443
180,180,506
181,181,384
182,182,344
187,187,396
188,188,507
189,189,431
191,191,437
193,193,428
194,194,444
195,195,633
196,196,622
197,197,371
198,198,650
199,199,405
202,202,365
204,204,370
205,205,546
207,207,483
208,208,466
210,210,475
211,211,592
212,212,406
213,213,651
214,214,698
215,215,719
216,216,463
218,218,502
220,220,456
221,221,514
223,223,374
224,224,570
226,226,381
227,227,643
229,229,354
230,230,490
231,231,345
232,232,336
233,233,451
234,234,597
235,235,486
236,236,469
237,237,429
238,238,448
239,239,580
240,240,426
241,241,404
242,242,529
244,244,699
246,246,423
247,247,566
248,248,479
249,249,571
250,250,564
251,251,468
252,252,615
253,253,472
254,254,410
257,257,372
258,258,639
260,260,565
262,262,663
263,263,493
265,265,402
269,269,593
270,270,434
271,271,551
272,272,393
273,273,484
274,274,623
275,275,350
277,277,530
278,278,352
282,282,525
283,283,652
285,285,644
287,287,653
289,289,430
290,290,411
291,291,584
292,292,531
294,294,610
295,295,700
296,296,508
297,297,494
298,298,585
299,299,341
300,300,424
301,301,485
302,302,624
303,303,645
305,305,390
306,306,413
308,308,611
311,311,616
312,312,474
313,313,481
314,314,366
315,315,489
316,316,547
317,317,450
318,318,581
319,319,683
320,320,400
321,321,684
323,323,378
324,324,368
325,325,539
326,326,495
327,327,572
328,328,601
329,329,459
330,330,701
331,331,702
332,332,606
334,334,458
335,335,348
336,336,414
337,337,435
338,338,675
340,340,607
341,341,453
342,342,654
344,344,357
347,347,398
348,348,573
349,349,503
350,350,708
351,351,511
352,352,720
353,353,560
354,354,617
355,355,454
356,356,669
357,357,416
358,358,589
359,359,519
360,360,561
361,361,464
363,363,520
364,364,655
366,366,517
369,369,670
370,370,618
373,373,664
374,374,467
375,375,387
376,376,721
377,377,516
378,378,452
379,379,690
380,380,619
381,381,501
382,382,646
384,384,640
385,385,647
387,387,582
388,388,676
389,389,418
391,391,427
392,392,526
393,393,548
394,394,671
395,395,577
396,396,703
397,397,488
398,398,500
399,399,425
401,401,512
402,402,447
403,403,504
404,404,722
407,407,421
409,409,677
410,410,656
411,411,629
412,412,476
413,413,540
418,418,535
419,419,586
422,422,441
423,423,587
424,424,491
426,426,527
427,427,625
429,429,541
431,431,685
432,432,691
433,433,536
434,434,672
435,435,557
436,436,477
439,439,594
441,441,634
442,442,482
443,443,480
446,446,513
447,447,692
452,452,588
456,456,553
457,457,522
462,462,665
463,463,602
465,465,567
473,473,666
476,476,598
477,477,704
479,479,693
481,481,603
482,482,709
484,484,694
487,487,612
488,488,635
489,489,549
492,492,550
496,496,678
498,498,679
499,499,667
500,500,542
503,503,532
512,512,705
513,513,636
518,518,554
520,520,608
523,523,686
528,528,533
529,529,648
530,530,710
531,531,657
534,534,574
538,538,626
540,540,658
541,541,599
545,545,613
549,549,600
551,551,673
553,553,659
557,557,578
558,558,620
563,563,706
567,567,621
569,569,575
571,571,595
572,572,627
582,582,641
587,587,660
591,591,680
592,592,596
604,604,711
610,610,630
619,619,637
623,623,649
630,630,661
636,636,695
641,641,712
642,642,687
644,644,713
651,651,714
652,652,662
663,663,715
668,668,716
676,676,681
715,715,717
