FROM,TO,VALUE
15,15,4
19,19,89
32,32,7
44,44,456
51,51,399
66,66,25
77,77,83
81,81,197
106,106,158
125,125,361
132,132,133
137,137,42
144,144,65
145,145,436
150,150,561
167,167,290
169,169,623
174,174,506
178,178,9
183,183,9
184,184,194
185,185,610
186,186,170
190,190,535
192,192,210
200,200,202
201,201,398
203,203,170
206,206,22
209,209,172
217,217,218
219,219,207
222,222,622
225,225,242
228,228,208
243,243,129
245,245,48
255,255,254
256,256,422
259,259,69
261,261,43
264,264,244
266,266,26
267,267,176
268,268,141
276,276,275
279,279,274
280,280,210
281,281,160
284,284,4
286,286,138
288,288,323
293,293,710
304,304,763
307,307,63
309,309,378
310,310,289
322,322,422
333,333,328
339,339,179
345,345,115
346,346,199
362,362,358
365,365,366
367,367,36
368,368,369
371,371,140
372,372,27
383,383,45
386,386,12
390,390,318
400,400,80
405,405,667
406,406,199
408,408,257
414,414,397
415,415,397
416,416,462
417,417,37
420,420,680
425,425,70
430,430,270
437,437,148
440,440,21
449,449,182
450,450,69
453,453,140
458,458,6
464,464,581
466,466,53
467,467,272
468,468,13
469,469,128
470,470,12
471,471,68
472,472,141
475,475,707
483,483,474
485,485,54
486,486,180
491,491,85
493,493,480
494,494,490
495,495,179
502,502,305
505,505,504
507,507,490
508,508,24
509,509,116
510,510,506
511,511,375
514,514,517
515,515,109
516,516,499
521,521,13
522,522,232
524,524,831
525,525,42
526,526,474
527,527,534
536,536,534
542,542,312
543,543,53
546,546,193
547,547,528
555,555,378
559,559,91
564,564,65
566,566,223
573,573,594
574,574,120
576,576,224
577,577,653
578,578,123
579,579,11
580,580,361
585,585,31
586,586,149
588,588,30
593,593,148
596,596,565
599,599,438
601,601,249
606,606,570
607,607,59
608,608,548
609,609,312
612,612,163
614,614,275
615,615,223
616,616,23
618,618,561
620,620,769
621,621,444
625,625,653
626,626,163
628,628,667
629,629,767
634,634,697
639,639,767
640,640,641
643,643,328
645,645,197
646,646,88
649,649,633
650,650,654
655,655,54
657,657,294
659,659,68
660,660,305
661,661,344
664,664,129
670,670,61
672,672,129
674,674,20
675,675,278
684,684,12
685,685,835
688,688,89
689,689,595
696,696,257
698,698,410
709,709,8
711,711,102
714,714,41
717,717,101
719,719,445
723,723,120
730,730,33
731,731,5
736,736,622
739,739,71
741,741,298
744,744,58
746,746,490
749,749,900
750,750,699
751,751,187
752,752,851
755,755,622
756,756,444
759,759,205
760,760,30
765,765,27
766,766,55
773,773,421
776,776,164
777,777,336
778,778,163
779,779,69
780,780,129
785,785,164
786,786,18
787,787,85
793,793,377
794,794,378
795,795,598
801,801,110
806,806,291
807,807,459
809,809,395
811,811,351
814,814,123
817,817,241
818,818,36
819,819,165
825,825,43
826,826,164
829,829,442
834,834,447
837,837,130
842,842,839
853,853,53
856,856,179
859,859,168
864,864,845
865,865,622
866,866,18
867,867,202
871,871,235
874,874,278
876,876,115
877,877,7
881,881,10
882,882,52
883,883,270
886,886,7
887,887,23
894,894,28
895,895,181
897,897,208
901,901,197
902,902,22
903,903,53
907,907,693
908,908,828
909,909,906
910,910,622
