FROM,TO,VALUE
1,1,378
2,2,301
3,3,837
4,4,414
5,5,534
6,6,303
7,7,348
8,8,328
9,9,731
10,10,407
11,11,302
12,12,342
13,13,337
14,14,321
15,15,335
16,16,796
17,17,315
18,18,346
19,19,306
20,20,797
21,21,393
22,22,304
23,23,356
24,24,308
25,25,313
26,26,453
27,27,305
28,28,390
29,29,609
30,30,495
31,31,455
32,32,353
33,33,763
34,34,312
35,35,716
36,36,324
37,37,327
38,38,307
39,39,535
40,40,323
41,41,334
42,42,555
43,43,364
44,44,395
45,45,838
46,46,405
47,47,569
48,48,458
49,49,311
50,50,519
51,51,529
52,52,839
53,53,446
54,54,469
55,55,418
56,56,317
57,57,369
58,58,643
59,59,381
60,60,667
61,61,358
62,62,314
63,63,552
64,64,361
65,65,538
66,66,310
67,67,732
68,68,561
69,69,331
70,70,309
71,71,631
72,72,539
73,73,582
74,74,544
75,75,420
76,76,326
77,77,502
78,78,840
79,79,330
80,80,338
81,81,329
82,82,841
83,83,460
84,84,404
85,85,556
86,86,332
87,87,545
88,88,438
89,89,345
90,90,316
91,91,384
92,92,496
93,93,636
94,94,339
95,95,442
96,96,377
97,97,459
98,98,506
99,99,497
100,100,436
101,101,546
102,102,360
103,103,432
104,104,325
105,105,379
106,106,333
107,107,435
108,108,733
109,109,605
110,110,562
111,111,362
112,112,440
113,113,413
114,114,680
115,115,575
116,116,473
117,117,318
118,118,320
119,119,606
120,120,375
121,121,351
122,122,382
123,123,439
124,124,372
125,125,340
126,126,558
127,127,842
128,128,422
129,129,637
130,130,363
131,131,434
132,132,319
133,133,629
134,134,798
135,135,488
136,136,588
137,137,387
138,138,359
139,139,843
140,140,389
141,141,322
142,142,686
143,143,578
144,144,367
145,145,406
146,146,416
147,147,734
148,148,844
149,149,650
150,150,410
151,151,355
152,152,449
153,153,845
154,154,559
155,155,521
156,156,516
157,157,687
158,158,706
159,159,695
160,160,480
161,161,443
162,162,614
163,163,463
164,164,696
165,165,513
166,166,374
167,167,392
168,168,385
169,169,570
170,170,799
171,171,507
172,172,846
173,173,492
174,174,591
175,175,400
176,176,592
177,177,847
178,178,397
179,179,349
180,180,470
181,181,746
182,182,441
183,183,566
184,184,503
185,185,343
186,186,747
187,187,800
188,188,848
189,189,849
190,190,394
191,191,504
192,192,431
193,193,850
194,194,437
195,195,851
196,196,428
197,197,852
198,198,632
199,199,623
200,200,383
201,201,651
202,202,402
203,203,801
204,204,764
205,205,365
206,206,853
207,207,370
208,208,547
209,209,854
210,210,483
211,211,464
212,212,855
213,213,475
214,214,593
215,215,403
216,216,652
217,217,697
218,218,717
219,219,461
220,220,802
221,221,499
222,222,856
223,223,454
224,224,512
225,225,748
226,226,373
227,227,571
228,228,857
229,229,380
230,230,644
231,231,803
232,232,354
233,233,490
234,234,344
235,235,336
236,236,448
237,237,596
238,238,486
239,239,468
240,240,429
241,241,445
242,242,579
243,243,426
244,244,401
245,245,530
246,246,765
247,247,698
248,248,858
249,249,423
250,250,567
251,251,478
252,252,572
253,253,563
254,254,467
255,255,615
256,256,471
257,257,408
258,258,804
259,259,859
260,260,371
261,261,638
262,262,766
263,263,564
264,264,749
265,265,663
266,266,493
267,267,750
268,268,399
269,269,767
270,270,860
271,271,768
272,272,594
273,273,433
274,274,551
275,275,391
276,276,484
277,277,624
278,278,350
279,279,805
280,280,531
