FROM,TO,VALUE
301,301,502
302,302,503
484,484,700
303,303,502
304,304,500
305,305,504
306,306,503
307,307,502
308,308,500
397,397,502
477,477,500
309,309,500
310,310,502
311,311,504
312,312,500
456,456,510
313,313,500
321,321,700
522,522,502
314,314,500
467,467,502
557,557,500
983,983,503
315,315,502
316,316,500
317,317,502
359,359,500
564,564,550
318,318,502
1008,1008,502
455,455,501
319,319,502
400,400,501
320,320,504
322,322,501
323,323,503
324,324,502
515,515,500
325,325,500
326,326,500
327,327,503
1155,1155,501
408,408,500
328,328,501
329,329,501
658,658,550
330,330,501
331,331,504
332,332,502
333,333,700
754,754,700
525,525,502
334,334,502
335,335,504
348,348,500
516,516,700
390,390,502
336,336,500
349,349,500
566,566,500
374,374,520
337,337,501
364,364,521
338,338,520
339,339,501
1378,1378,502
340,340,501
672,672,550
415,415,500
479,479,510
341,341,500
813,813,700
342,342,500
636,636,700
343,343,502
514,514,521
742,742,700
1129,1129,501
344,344,500
1481,1481,501
345,345,500
1009,1009,521
346,346,500
347,347,500
851,851,600
661,661,700
350,350,700
351,351,502
388,388,500
465,465,530
383,383,502
796,796,700
354,354,551
922,922,501
616,616,520
1344,1344,501
352,352,500
353,353,700
1025,1025,501
512,512,550
360,360,502
543,543,530
432,432,521
424,424,502
355,355,502
375,375,700
776,776,600
815,815,500
356,356,520
357,357,502
358,358,500
638,638,522
1032,1032,700
1420,1420,520
480,480,502
1136,1136,520
1805,1805,502
657,657,500
483,483,700
361,361,520
362,362,500
2165,2165,521
363,363,500
365,365,501
366,366,502
1412,1412,520
1783,1783,520
2372,2372,502
367,367,500
368,368,520
369,369,500
887,887,520
940,940,521
370,370,500
371,371,700
372,372,501
2170,2170,501
373,373,502
1544,1544,520
1160,1160,520
376,376,500
377,377,500
378,378,500
379,379,500
380,380,521
1743,1743,521
381,381,520
384,384,501
1488,1488,521
1222,1222,521
931,931,700
777,777,530
382,382,550
985,985,521
386,386,520
1386,1386,502
631,631,700
689,689,551
491,491,600
1139,1139,521
1929,1929,500
1167,1167,500
385,385,502
926,926,500
1448,1448,521
1384,1384,500
856,856,522
1782,1782,500
1652,1652,520
526,526,520
2069,2069,502
387,387,500
1436,1436,510
403,403,700
879,879,550
1499,1499,500
972,972,521
1543,1543,500
449,449,500
2578,2578,500
1106,1106,500
1327,1327,521
1730,1730,521
1232,1232,521
653,653,550
1253,1253,502
389,389,500
3104,3104,500
