min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
1, 0, 10109, 100.0, 0.0
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
1, 0, 10109, 100.0, 0.0
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
0.999, 0, 9532, 99.9, 0.0899999999999892
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
0.999, 0, 8705, 99.9, 0.0899999999999892
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
0.999, 0, 4373, 99.9, 0.0899999999999892
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
0.999, 0, 4373, 99.9, 0.0899999999999892
min_area_rot, min_rate_increase, num_uniq_rot, avg_accuracy, delta_accuracy
0.999, 0, 4373, 99.9, 0.0899999999999892
