FROM,TO,VALUE
2652,2652,755
2654,2654,3034
2658,2658,1031
2665,2665,307
2670,2670,616
2674,2674,1859
2676,2676,1349
2677,2677,1488
2680,2680,2111
2697,2697,3020
2705,2705,409
2715,2715,3734
2717,2717,2619
2722,2722,835
2723,2723,2637
2741,2741,1458
2744,2744,3785
2756,2756,2643
2757,2757,1920
2763,2763,1313
2776,2776,1820
2778,2778,2380
2780,2780,1318
2787,2787,2749
2792,2792,374
2797,2797,2777
2798,2798,1950
2809,2809,5168
2814,2814,322
2821,2821,2344
2831,2831,742
2832,2832,696
2836,2836,112
2837,2837,408
2849,2849,2871
2860,2860,2873
2861,2861,2024
2862,2862,329
2868,2868,2774
2880,2880,2873
2894,2894,3559
2898,2898,1357
2901,2901,1019
2918,2918,3585
2920,2920,2304
2925,2925,372
2927,2927,1755
2932,2932,240
2937,2937,657
2944,2944,2928
2950,2950,1499
2959,2959,1469
2967,2967,42
2969,2969,3521
2973,2973,851
2986,2986,3806
2987,2987,2480
2990,2990,686
3006,3006,2304
3007,3007,27
3016,3016,1111
3029,3029,1386
3045,3045,2377
3047,3047,3036
3054,3054,1965
3056,3056,4573
3057,3057,5085
3071,3071,296
3072,3072,1489
3081,3081,1905
3082,3082,65
3085,3085,914
3087,3087,71
3091,3091,389
3092,3092,1179
3094,3094,2922
3108,3108,1384
3112,3112,4747
3117,3117,672
3118,3118,3068
3124,3124,3109
3136,3136,2271
3138,3138,1880
3151,3151,3113
3153,3153,2913
3154,3154,1118
3162,3162,449
3164,3164,4007
3165,3165,2225
3168,3168,3065
3173,3173,4101
3174,3174,1785
3175,3175,1106
3176,3176,2578
3178,3178,1346
3183,3183,1145
3186,3186,1283
3190,3190,239
3198,3198,1320
3201,3201,357
3204,3204,4440
3214,3214,557
3217,3217,27
3221,3221,133
3223,3223,2838
3231,3231,1423
3234,3234,149
3236,3236,2838
3237,3237,3224
3238,3238,879
3250,3250,249
3253,3253,2977
3257,3257,472
3263,3263,1712
3264,3264,3893
3269,3269,2447
3274,3274,383
3291,3291,1043
3292,3292,2017
3294,3294,3295
3298,3298,976
3305,3305,1887
3307,3307,1111
3317,3317,1341
3320,3320,397
3323,3323,28
3339,3339,2248
3352,3352,3337
3354,3354,5116
3372,3372,2238
3386,3386,4117
3390,3390,3364
3393,3393,427
3396,3396,323
3410,3410,1324
3413,3413,2516
3417,3417,557
3426,3426,1170
3427,3427,3394
3431,3431,856
3443,3443,314
3444,3444,2977
3446,3446,3445
3449,3449,2277
3450,3450,1210
3460,3460,302
3461,3461,1364
3465,3465,1364
3471,3471,3389
3475,3475,27
3482,3482,4396
3486,3486,18
3487,3487,2754
3497,3497,18
3499,3499,77
3508,3508,2040
3512,3512,1492
3513,3513,1009
3518,3518,796
3524,3524,498
3526,3526,2360
3541,3541,3142
3543,3543,2100
3546,3546,1377
3547,3547,2706
3551,3551,3044
3552,3552,3611
3553,3553,324
3556,3556,42
3572,3572,3571
3574,3574,2835
3575,3575,1111
3578,3578,540
3587,3587,1170
3596,3596,212
3598,3598,1723
3608,3608,127
3609,3609,1223
3613,3613,3604
3616,3616,27
3618,3618,408
3619,3619,54
3625,3625,673
3627,3627,348
3629,3629,742
3633,3633,28
3636,3636,321
3637,3637,1802
3646,3646,384
3647,3647,2069
3649,3649,3642
3650,3650,1923
3652,3652,1386
3666,3666,815
3669,3669,3689
3671,3671,651
3677,3677,1590
3679,3679,3293
3680,3680,252
3699,3699,2036
3701,3701,4413
3702,3702,1499
3703,3703,631
3704,3704,332
3709,3709,1183
3713,3713,269
3717,3717,555
3727,3727,44
3737,3737,2360
3740,3740,101
3757,3757,449
3759,3759,514
3770,3770,1443
3784,3784,1129
3790,3790,1460
3792,3792,2852
3799,3799,1618
3803,3803,2515
3820,3820,2785
3830,3830,4
3833,3833,4966
3835,3835,4454
3838,3838,495
3840,3840,1281
3846,3846,3456
3850,3850,4218
3858,3858,3837
3863,3863,2604
3865,3865,2447
