FROM,TO,VALUE
1,1,387
2,2,455
3,3,321
4,4,623
5,5,749
6,6,493
7,7,686
8,8,719
9,9,553
10,10,526
11,11,674
12,12,646
13,13,720
14,14,350
15,15,405
16,16,721
17,17,722
18,18,371
19,19,347
20,20,431
21,21,477
22,22,603
23,23,723
24,24,454
25,25,616
26,26,503
27,27,333
28,28,482
29,29,656
30,30,379
31,31,532
32,32,797
33,33,478
34,34,798
35,35,666
36,36,750
37,37,576
38,38,799
39,39,586
40,40,366
41,41,346
42,42,450
43,43,426
44,44,360
45,45,353
46,46,724
47,47,667
48,48,527
49,49,647
50,50,354
51,51,328
52,52,634
53,53,427
54,54,390
55,55,461
56,56,517
57,57,751
58,58,457
59,59,752
60,60,579
61,61,566
62,62,341
63,63,624
64,64,800
65,65,348
66,66,314
67,67,725
68,68,801
69,69,573
70,70,393
71,71,327
72,72,537
73,73,486
74,74,470
75,75,753
76,76,657
77,77,356
78,78,533
79,79,726
80,80,658
81,81,617
82,82,546
83,83,687
84,84,802
85,85,688
86,86,336
87,87,475
88,88,410
89,89,318
90,90,412
91,91,727
92,92,335
93,93,544
94,94,564
95,95,754
96,96,444
97,97,604
98,98,320
99,99,728
100,100,729
101,101,755
102,102,504
103,103,471
104,104,343
105,105,547
106,106,402
107,107,330
108,108,334
109,109,339
110,110,689
111,111,690
112,112,331
113,113,756
114,114,803
115,115,609
116,116,565
117,117,804
118,118,757
119,119,580
120,120,447
121,121,308
122,122,691
123,123,805
124,124,558
125,125,675
126,126,676
127,127,302
128,128,355
129,129,312
130,130,495
131,131,806
132,132,523
133,133,421
134,134,351
135,135,807
136,136,692
137,137,516
138,138,693
139,139,352
140,140,629
141,141,630
142,142,389
143,143,539
144,144,423
145,145,574
146,146,618
147,147,323
148,148,316
149,149,395
150,150,808
151,151,758
152,152,301
153,153,498
154,154,370
155,155,419
156,156,424
157,157,520
158,158,311
159,159,619
160,160,465
161,161,315
162,162,322
163,163,342
164,164,512
165,165,345
166,166,809
167,167,694
168,168,418
169,169,396
170,170,677
171,171,429
172,172,337
173,173,432
174,174,545
175,175,473
176,176,377
177,177,367
178,178,324
179,179,567
180,180,605
181,181,317
182,182,449
183,183,648
184,184,730
185,185,407
186,186,358
187,187,731
188,188,307
189,189,620
190,190,610
191,191,506
192,192,481
193,193,635
194,194,313
195,195,592
196,196,368
197,197,451
198,198,468
199,199,759
200,200,760
201,201,810
202,202,399
203,203,408
204,204,695
205,205,438
206,206,489
207,207,761
208,208,439
209,209,611
210,210,696
211,211,364
212,212,612
213,213,329
214,214,400
215,215,332
216,216,485
217,217,678
218,218,476
219,219,385
220,220,326
221,221,528
222,222,540
223,223,732
224,224,811
225,225,762
226,226,309
227,227,404
228,228,411
229,229,305
230,230,357
231,231,697
232,232,510
233,233,577
234,234,668
235,235,679
236,236,319
237,237,440
238,238,373
239,239,303
240,240,513
241,241,499
242,242,310
243,243,669
244,244,581
245,245,417
246,246,406
247,247,453
248,248,383
249,249,375
250,250,568
251,251,490
252,252,372
253,253,625
254,254,812
255,255,636
256,256,637
257,257,359
258,258,361
259,259,381
260,260,436
261,261,304
262,262,397
263,263,593
264,264,680
265,265,763
266,266,764
267,267,446
268,268,548
269,269,306
270,270,386
271,271,363
272,272,401
273,273,416
274,274,733
275,275,500
276,276,626
277,277,374
278,278,613
279,279,433
280,280,521
281,281,582
282,282,541
283,283,338
284,284,398
285,285,559
286,286,437
287,287,765
288,288,594
289,289,649
290,290,813
291,291,483
292,292,456
293,293,734
294,294,392
295,295,621
296,296,452
297,297,766
298,298,735
299,299,462
300,300,340
301,301,505
302,302,529
303,303,365
304,304,445
305,305,767
306,306,435
307,307,349
308,308,514
309,309,463
310,310,578
311,311,414
312,312,325
313,313,496
314,314,376
315,315,534
316,316,587
317,317,382
318,318,597
319,319,554
320,320,569
322,322,344
323,323,425
324,324,484
325,325,555
326,326,369
327,327,434
328,328,768
329,329,378
330,330,507
331,331,422
332,332,403
333,333,508
334,334,518
335,335,388
336,336,362
337,337,542
338,338,530
339,339,409
340,340,681
341,341,583
342,342,814
343,343,391
344,344,464
345,345,531
346,346,769
347,347,384
350,350,428
351,351,638
352,352,598
353,353,614
355,355,460
356,356,606
357,357,466
358,358,736
361,361,737
362,362,556
363,363,380
365,365,443
366,366,698
367,367,682
368,368,650
369,369,502
370,370,699
371,371,770
372,372,413
373,373,487
376,376,659
377,377,497
378,378,458
379,379,815
380,380,535
381,381,615
382,382,771
385,385,394
387,387,469
389,389,472
391,391,552
392,392,622
393,393,448
394,394,474
395,395,651
396,396,816
398,398,488
399,399,560
401,401,420
402,402,652
404,404,627
405,405,491
406,406,441
407,407,607
410,410,524
411,411,415
412,412,817
413,413,660
414,414,561
416,416,772
417,417,631
418,418,525
419,419,773
420,420,442
421,421,430
422,422,661
423,423,467
425,425,492
426,426,570
427,427,639
430,430,501
431,431,774
433,433,775
434,434,662
435,435,818
436,436,700
437,437,776
438,438,663
439,439,571
440,440,701
441,441,479
442,442,819
443,443,664
444,444,595
448,448,557
450,450,459
451,451,515
454,454,820
458,458,738
459,459,821
460,460,494
462,462,739
463,463,822
464,464,777
466,466,509
468,468,823
469,469,549
470,470,824
471,471,536
472,472,588
473,473,640
474,474,596
475,475,480
476,476,511
478,478,519
481,481,825
482,482,543
485,485,702
487,487,550
488,488,562
490,490,563
492,492,826
493,493,683
497,497,538
499,499,575
501,501,740
502,502,778
503,503,703
504,504,522
505,505,704
506,506,665
508,508,827
513,513,779
517,517,584
518,518,828
521,521,572
523,523,599
530,530,829
531,531,589
532,532,780
533,533,781
534,534,608
535,535,590
536,536,782
537,537,628
539,539,830
541,541,741
546,546,551
547,547,641
548,548,831
549,549,705
550,550,642
551,551,706
552,552,832
553,553,643
554,554,833
558,558,591
559,559,834
560,560,783
561,561,707
562,562,670
567,567,742
570,570,644
573,573,743
574,574,835
575,575,653
579,579,585
580,580,708
581,581,836
582,582,600
583,583,632
584,584,671
585,585,744
586,586,837
587,587,784
588,588,684
589,589,838
590,590,601
592,592,839
594,594,709
596,596,785
597,597,645
598,598,602
601,601,654
602,602,840
606,606,655
612,612,633
613,613,710
622,622,786
625,625,672
626,626,841
628,628,787
629,629,842
632,632,673
634,634,788
635,635,843
637,637,711
646,646,844
647,647,845
649,649,846
650,650,847
666,666,712
668,668,745
670,670,848
674,674,746
675,675,713
676,676,714
680,680,849
681,681,685
684,684,715
685,685,850
693,693,851
694,694,789
698,698,716
700,700,852
707,707,717
712,712,853
713,713,718
716,716,790
720,720,854
723,723,791
728,728,855
730,730,856
732,732,747
734,734,792
735,735,748
737,737,857
738,738,858
741,741,859
750,750,793
760,760,794
761,761,860
762,762,861
766,766,862
767,767,863
784,784,795
785,785,864
789,789,796
791,791,865
792,792,866
803,803,867
804,804,868
805,805,869
816,816,870
819,819,871
821,821,872
824,824,873
827,827,874
830,830,875
847,847,876
854,854,877
866,866,878
869,869,879
870,870,880
